Initials	Item Name	Rarity	Min Ups	Max Ups	Min Base	Max Base	Class	Health	Max Potential	Min Potential	Lowest Health	Highest Health	Unrounded Min Upgrades	Unrounded Max Upgrades	Average Ups	Average Base	Unrounded Min Base	Unrounded Max Base
WO	Forgotten		17	19	28	32	DPS Armor	260	63	50	247	273	17.1	18.9	18	30	28.5	31.5
WO	Forgotten		19	21	32	36	DPS Armor	280	81	63	266	294	19	21	20	34	32.3	35.7
WO	Forgotten		20	24	36	40	DPS Armor	300	111	78	285	315	20.9	23.1	22	38	36.1	39.9
WO	Forgotten		22	26	39	45	DPS Armor	320	134	97	304	336	22.8	25.2	24	42	39.9	44.1
WO	Forgotten Guardian		17	19	570	630	Guardian		820	740	0	0	17.1	18.9	18	600	570	630
WO	Forgotten Guardian		19	21	627	693	Guardian		903	817	0	0	19	21	20	660	627	693
WO	Forgotten Guardian		20	24	684	756	Guardian		996	884	0	0	20.9	23.1	22	720	684	756
WO	Forgotten Guardian		22	26	741	819	Guardian		1079	961	0	0	22.8	25.2	24	780	741	819
WO	Plate		24	28	41	47	DPS Armor	340	154	112	323	357	24.7	27.3	26	44	41.8	46.2
WO	Plate		26	30	45	51	DPS Armor	370	185	134	351	389	26.6	29.4	28	48	45.6	50.4
WO	Plate		28	32	49	55	DPS Armor	400	223	161	380	420	28.5	31.5	30	52	49.4	54.6
WO	Plate		30	34	51	57	DPS Armor	430	253	185	408	452	30.4	33.6	32	54	51.3	56.7
WO	Ancient Plate		24	28	807	893	Guardian		1173	1047	0	0	24.7	27.3	26	850	807.5	892.5
WO	Ancient Plate		26	30	902	998	Guardian		1298	1162	0	0	26.6	29.4	28	950	902.5	997.5
WO	Ancient Plate		28	32	997	1103	Guardian		1423	1277	0	0	28.5	31.5	30	1050	997.5	1102.5
WO	Ancient Plate		30	34	1092	1208	Guardian		1548	1392	0	0	30.4	33.6	32	1150	1092.5	1207.5
WO	Elite (Warlord/Mage) Plate  		32	36	53	59	DPS Armor	460	283	213	437	483	32.3	35.7	34	56	53.2	58.8
WO	Elite (Warlord/Mage) Plate  		35	39	57	65	DPS Armor	500	338	263	475	525	35.15	38.85	37	61	57.95	64.05
WO	Elite (Warlord/Mage) Plate  		38	42	62	70	DPS Armor	540	383	318	513	567	38	42	40	66	62.7	69.3
WO	Elite (Warlord/Mage) Plate  		40	46	67	75	DPS Armor	580	440	353	551	609	40.85	45.15	43	71	67.45	74.55
WO	Elite Ancient Plate		32	36	1140	1260	Guardian		1620	1460	0	0	32.3	35.7	34	1200	1140	1260
WO	Elite Ancient Plate		35	39	1282	1418	Guardian		1808	1632	0	0	35.15	38.85	37	1350	1282.5	1417.5
WO	Elite Ancient Plate		38	42	1425	1575	Guardian		1995	1805	0	0	38	42	40	1500	1425	1575
WO	Elite Ancient Plate		40	46	1567	1733	Guardian		2193	1967	0	0	40.85	45.15	43	1650	1567.5	1732.5
WO	Ice King's		42	48	71	79	DPS Armor	600	473	388	570	630	42.75	47.25	45	75	71.25	78.75
WO	Ice King's		46	52	76	84	DPS Armor	650	528	443	617	683	46.55	51.45	49	80	76	84
WO	Ice King's		50	56	80	90	DPS Armor	700	583	498	665	735	50.35	55.65	53	85	80.75	89.25
WO	Ice King's		54	60	85	95	DPS Armor	750	634	550	712	788	54.15	59.85	57	90	85.5	94.5
WO	Ice King's Guardian		42	48	1662	1838	Guardian		2318	2082	0	0	42.75	47.25	45	1750	1662.5	1837.5
WO	Ice King's Guardian		46	52	1852	2048	Guardian		2568	2312	0	0	46.55	51.45	49	1950	1852.5	2047.5
WO	Ice King's Guardian		50	56	2042	2258	Guardian		2818	2542	0	0	50.35	55.65	53	2150	2042.5	2257.5
WO	Ice King's Guardian		54	60	2232	2468	Guardian		3068	2772	0	0	54.15	59.85	57	2350	2232.5	2467.5
PI	Stone Strongsword		117	131	883	977	War		2287	2053	0	0	117.8	130.2	124	930	883.5	976.5
PI	Stone Strongsword		123	137	931	1029	War		2399	2161	0	0	123.5	136.5	130	980	931	1029
PI	Stone Strongsword		129	143	978	1082	War		2512	2268	0	0	129.2	142.8	136	1030	978.5	1081.5
Pi	Stone Strongsword		134	150	1026	1134	War		2634	2366	0	0	134.9	149.1	142	1080	1026	1134
PI	Ruby Staff		117	131	883	977	Mage		2287	2053	0	0	117.8	130.2	124	930	883.5	976.5
PI	Ruby Staff		124	138	940	1040	Mage		2420	2180	0	0	124.45	137.55	131	990	940.5	1039.5
PI	Ruby Staff		131	145	997	1103	Mage		2553	2307	0	0	131.1	144.9	138	1050	997.5	1102.5
PI	Ruby Staff		137	153	1054	1166	Mage		2696	2424	0	0	137.75	152.25	145	1110	1054.5	1165.5
PI	Mighty Flatblade		131	145	997	1103	War		2553	2307	0	0	131.1	144.9	138	1050	997.5	1102.5
PI	Mighty Flatblade		136	152	1045	1155	War		2675	2405	0	0	136.8	151.2	144	1100	1045	1155
PI	Mighty Flatblade		142	158	1092	1208	War		2788	2512	0	0	142.5	157.5	150	1150	1092.5	1207.5
PI	Mighty Flatblade		148	164	1140	1260	War		2900	2620	0	0	148.2	163.8	156	1200	1140	1260
PI	Holy Wand		128	142	969	1071	Mage		2491	2249	0	0	128.25	141.75	135	1020	969	1071
PI	Holy Wand		135	151	1035	1145	Mage		2655	2385	0	0	135.85	150.15	143	1090	1035.5	1144.5
PI	Holy Wand		142	158	1102	1218	Mage		2798	2522	0	0	142.5	157.5	150	1160	1102	1218
PI	Holy Wand		149	165	1168	1292	Mage		2942	2658	0	0	149.15	164.85	157	1230	1168.5	1291.5
PI	Molten Blade		138	154	1073	1187	War		2727	2453	0	0	138.7	153.3	146	1130	1073.5	1186.5
PI	Molten Blade		144	160	1130	1250	War		2850	2570	0	0	144.4	159.6	152	1190	1130.5	1249.5
PI	Molten Blade		150	166	1187	1313	War		2973	2687	0	0	150.1	165.9	158	1250	1187.5	1312.5
PI	Molten Blade		155	173	1244	1376	War		3106	2794	0	0	155.8	172.2	164	1310	1244.5	1375.5
PI	Arcane Orb Staff		140	156	1073	1187	Mage		2747	2473	0	0	140.6	155.4	148	1130	1073.5	1186.5
PI	Arcane Orb Staff		147	163	1149	1271	Mage		2901	2619	0	0	147.25	162.75	155	1210	1149.5	1270.5
PI	Arcane Orb Staff		153	171	1235	1365	Mage		3075	2765	0	0	153.9	170.1	162	1300	1235	1365
PI	Arcane Orb Staff		160	178	1320	1460	Mage		3240	2920	0	0	160.55	177.45	169	1390	1320.5	1459.5
PI	Cultist Blade		146	162	1159	1281	Mage		2901	2619	0	0	146.3	161.7	154	1220	1159	1281
PI	Cultist Blade		152	170	1225	1355	Mage		3055	2745	0	0	152.95	169.05	161	1290	1225.5	1354.5
PI	Cultist Blade		158	176	1292	1428	Mage		3188	2872	0	0	158.65	175.35	167	1360	1292	1428
PI	Cultist Blade		163	181	1358	1502	Mage		3312	2988	0	0	163.4	180.6	172	1430	1358.5	1501.5
PI	Empowered Crystal Blade		156	174	1263	1397	War		3137	2823	0	0	156.75	173.25	165	1330	1263.5	1396.5
PI	Empowered Crystal Blade		163	181	1330	1470	War		3280	2960	0	0	163.4	180.6	172	1400	1330	1470
PI	Empowered Crystal Blade		170	188	1406	1554	War		3434	3106	0	0	170.05	187.95	179	1480	1406	1554
PI	Empowered Crystal Blade		176	196	1482	1638	War		3598	3242	0	0	176.7	195.3	186	1560	1482	1638
PI	Greater Dark Scythe		151	167	1197	1323	Mage		2993	2707	0	0	151.05	166.95	159	1260	1197	1323
PI	Greater Dark Scythe		159	177	1292	1428	Mage		3198	2882	0	0	159.6	176.4	168	1360	1292	1428
PI	Greater Dark Scythe		168	186	1387	1533	Mage		3393	3067	0	0	168.15	185.85	177	1460	1387	1533
PI	Greater Dark Scythe		176	196	1482	1638	Mage		3598	3242	0	0	176.7	195.3	186	1560	1482	1638
PI	Tenplar Blade		164	182	1330	1470	War		3290	2970	0	0	164.35	181.65	173	1400	1330	1470
PI	Tenplar Blade		170	188	1415	1565	War		3445	3115	0	0	170.05	187.95	179	1490	1415.5	1564.5
PI	Tenplar Blade		176	196	1501	1659	War		3619	3261	0	0	176.7	195.3	186	1580	1501	1659
PI	Tenplar Blade		182	202	1586	1754	War		3774	3406	0	0	182.4	201.6	192	1670	1586.5	1753.5
PI	Earth Wand		163	181	1339	1481	Mage		3291	2969	0	0	163.4	180.6	172	1410	1339.5	1480.5
PI	Earth Wand		171	189	1425	1575	Mage		3465	3135	0	0	171	189	180	1500	1425	1575
PI	Earth Wand		178	198	1510	1670	Mage		3650	3290	0	0	178.6	197.4	188	1590	1510.5	1669.5
PI	Earth Wand		186	206	1596	1764	Mage		3824	3456	0	0	186.2	205.8	196	1680	1596	1764
PI	Ocean Splitter		172	192	1472	1628	War		3548	3192	0	0	172.9	191.1	182	1550	1472.5	1627.5
PI	Ocean Splitter		180	200	1586	1754	War		3754	3386	0	0	180.5	199.5	190	1670	1586.5	1753.5
PI	Ocean Splitter		188	208	1700	1880	War		3960	3580	0	0	188.1	207.9	198	1790	1700.5	1879.5
PI	Ocean Splitter		195	217	1814	2006	War		4176	3764	0	0	195.7	216.3	206	1910	1814.5	2005.5
PI	Solar Staff		175	195	1472	1628	Mage		3578	3222	0	0	175.75	194.25	185	1550	1472.5	1627.5
PI	Solar Staff		185	205	1577	1743	Mage		3793	3427	0	0	185.25	204.75	195	1660	1577	1743
PI	Solar Staff		194	216	1681	1859	Mage		4019	3621	0	0	194.75	215.25	205	1770	1681.5	1858.5
PI	Solar Staff		204	226	1786	1974	Mage		4234	3826	0	0	204.25	225.75	215	1880	1786	1974
PI	Onyx Empowered Greatsword		185	205	1634	1806	War		3856	3484	0	0	185.25	204.75	195	1720	1634	1806
PI	Onyx Empowered Greatsword		193	215	1748	1932	War		4082	3678	0	0	193.8	214.2	204	1840	1748	1932
PI	Onyx Empowered Greatsword		202	224	1862	2058	War		4298	3882	0	0	202.35	223.65	213	1960	1862	2058
PI	Onyx Empowered Greatsword		210	234	1976	2184	War		4524	4076	0	0	210.9	233.1	222	2080	1976	2184
PI	Angelic Staff		190	210	1624	1796	Mage		3896	3524	0	0	190	210	200	1710	1624.5	1795.5
PI	Angelic Staff		201	223	1748	1932	Mage		4162	3758	0	0	201.4	222.6	212	1840	1748	1932
PI	Angelic Staff		212	236	1871	2069	Mage		4429	3991	0	0	212.8	235.2	224	1970	1871.5	2068.5
PI	Angelic Staff		224	248	1995	2205	Mage		4685	4235	0	0	224.2	247.8	236	2100	1995	2205
PI	Devilish Greataxe		197	219	1824	2016	War		4206	3794	0	0	197.6	218.4	208	1920	1824	2016
PI	Devilish Greataxe		207	229	1938	2142	War		4432	4008	0	0	207.1	228.9	218	2040	1938	2142
PI	Devilish Greataxe		216	240	2071	2289	War		4689	4231	0	0	216.6	239.4	228	2180	2071	2289
PI	Devilish Greataxe		226	250	2204	2436	War		4936	4464	0	0	226.1	249.9	238	2320	2204	2436
PI	Dark Priest Staff		207	229	1843	2037	Mage		4327	3913	0	0	207.1	228.9	218	1940	1843	2037
PI	Dark Priest Staff		218	242	2004	2216	Mage		4636	4184	0	0	218.5	241.5	230	2110	2004.5	2215.5
PI	Dark Priest Staff		229	255	2166	2394	Mage		4944	4456	0	0	229.9	254.1	242	2280	2166	2394
PI	Dark Priest Staff		241	267	2337	2583	Mage		5253	4747	0	0	241.3	266.7	254	2460	2337	2583
PI	Titan's Greataxe		212	236	1995	2205	War		4565	4115	0	0	212.8	235.2	224	2100	1995	2205
PI	Titan's Greataxe		224	248	2147	2373	War		4853	4387	0	0	224.2	247.8	236	2260	2147	2373
PI	Titan's Greataxe		235	261	2299	2541	War		5151	4649	0	0	235.6	260.4	248	2420	2299	2541
PI	Titan's Greataxe		247	273	2451	2709	War		5439	4921	0	0	247	273	260	2580	2451	2709
PI	Greater Prophet Staff		228	252	2147	2373	Mage		4893	4427	0	0	228	252	240	2260	2147	2373
PI	Greater Prophet Staff		244	270	2375	2625	Mage		5325	4815	0	0	244.15	269.85	257	2500	2375	2625
PI	Greater Prophet Staff		258	286	2584	2856	Mage		5716	5164	0	0	258.4	285.6	272	2720	2584	2856
PI	Greater Prophet Staff		275	305	2812	3108	Mage		6158	5562	0	0	275.5	304.5	290	2960	2812	3108
PI	Molten Greataxe		231	257	2242	2478	War		5048	4552	0	0	231.8	256.2	244	2360	2242	2478
PI	Molten Greataxe		247	273	2432	2688	War		5418	4902	0	0	247	273	260	2560	2432	2688
PI	Molten Greataxe		261	289	2622	2898	War		5788	5232	0	0	261.25	288.75	275	2760	2622	2898
PI	Molten Greataxe		275	305	2812	3108	War		6158	5562	0	0	275.5	304.5	290	2960	2812	3108
PI	Pirate King's		57	63	80	90	DPS Armor	1100	720	650	1045	1155	57	63	60	85	80.75	89.25
PI	Pirate King's		64	72	90	100	DPS Armor	1200	820	730	1140	1260	64.6	71.4	68	95	90.25	99.75
PI	Pirate King's		72	80	99	111	DPS Armor	1300	911	819	1235	1365	72.2	79.8	76	105	99.75	110.25
PI	Pirate King's		79	89	109	121	DPS Armor	1400	1011	899	1330	1470	79.8	88.2	84	115	109.25	120.75
PI	Pirate King's Guardian		32	36	2850	3150	Guardian		3510	3170	0	0	32.3	35.7	34	3000	2850	3150
PI	Pirate King's Guardian		57	63	3135	3465	Guardian		4095	3705	0	0	57	63	60	3300	3135	3465
PI	Pirate King's Guardian		64	72	3420	3780	Guardian		4500	4060	0	0	64.6	71.4	68	3600	3420	3780
PI	Pirate King's Guardian		72	80	3705	4095	Guardian		4895	4425	0	0	72.2	79.8	76	3900	3705	4095
PI	Angelic/Infernal		70	78	80	90	DPS Armor	1800	870	780	1710	1890	70.3	77.7	74	85	80.75	89.25
PI	Angelic/Infernal		80	90	99	111	DPS Armor	2000	1011	899	1900	2100	80.75	89.25	85	105	99.75	110.25
PI	Angelic/Infernal		91	101	118	132	DPS Armor	2200	1142	1028	2090	2310	91.2	100.8	96	125	118.75	131.25
PI	Angelic/Infernal		101	113	137	153	DPS Armor	2400	1283	1147	2280	2520	101.65	112.35	107	145	137.75	152.25
PI	Void Plate		70	78	3800	4200	Guardian		4980	4500	0	0	70.3	77.7	74	4000	3800	4200
PI	Void Plate		80	90	4275	4725	Guardian		5625	5075	0	0	80.75	89.25	85	4500	4275	4725
PI	Void Plate		91	101	4750	5250	Guardian		6260	5660	0	0	91.2	100.8	96	5000	4750	5250
PI	Void Plate		101	113	5225	5775	Guardian		6905	6235	0	0	101.65	112.35	107	5500	5225	5775
PI	Godly		95	105	142	158	DPS Armor	2600	1198	1075	2470	2730	95	105	100	150	142.5	157.5
PI	Godly		104	116	161	179	DPS Armor	2800	1335	1193	2660	2940	104.5	115.5	110	170	161.5	178.5
PI	Godly		114	126	180	200	DPS Armor	3000	1460	1317	2850	3150	114	126	120	190	180.5	199.5
PI	Godly		123	137	199	221	DPS Armor	3200	1591	1428	3040	3360	123.5	136.5	130	210	199.5	220.5
PI	Godly Guardian		95	105	5415	5985	Guardian		7035	6365	0	0	95	105	100	5700	5415	5985
PI	Godly Guardian		104	116	5890	6510	Guardian		7670	6930	0	0	104.5	115.5	110	6200	5890	6510
PI	Godly Guardian		114	126	6365	7035	Guardian		8295	7505	0	0	114	126	120	6700	6365	7035
PI	Godly Guardian		123	137	6935	7665	Guardian		9035	8165	0	0	123.5	136.5	130	7300	6935	7665
PI	Soulstealer Greatsword		332	368	3277	3623	War Legend		7303	6597	0	0	332.5	367.5	350	3450	3277.5	3622.5
PI	Staff of the Gods		332	368	3277	3623	Mage Legend		7303	6597	0	0	332.5	367.5	350	3450	3277.5	3622.5
KC	Goblin Cleaver		232	258	2299	2541	War		5121	4619	0	0	232.75	257.25	245	2420	2299	2541
KC	Goblin Cleaver		247	275	2489	2751	War		5501	4959	0	0	247.95	274.05	261	2620	2489	2751
KC	Goblin Cleaver		263	291	2679	2961	War		5871	5309	0	0	263.15	290.85	277	2820	2679	2961
KC	Goblin Cleaver		280	310	2869	3171	War		6271	5669	0	0	280.25	309.75	295	3020	2869	3171
KC	Tribal Staff		232	258	2299	2541	Mage		5121	4619	0	0	232.75	257.25	245	2420	2299	2541
KC	Tribal Staff		247	275	2489	2751	Mage		5501	4959	0	0	247.95	274.05	261	2620	2489	2751
KC	Tribal Staff		263	291	2679	2961	Mage		5871	5309	0	0	263.15	290.85	277	2820	2679	2961
KC	Tribal Staff		280	310	2869	3171	Mage		6271	5669	0	0	280.25	309.75	295	3020	2869	3171
KC	Dual Cutlasses		256	284	2584	2856	War		5696	5144	0	0	256.5	283.5	270	2720	2584	2856
KC	Dual Cutlasses		285	315	2850	3150	War		6300	5700	0	0	285	315	300	3000	2850	3150
KC	Dual Cutlasses		304	336	3116	3444	War		6804	6156	0	0	304	336	320	3280	3116	3444
KC	Dual Cutlasses		323	357	3382	3738	War		7308	6612	0	0	323	357	340	3560	3382	3738
KC	Eagle Staff		256	284	2584	2856	Mage		5696	5144	0	0	256.5	283.5	270	2720	2584	2856
KC	Eagle Staff		285	315	2850	3150	Mage		6300	5700	0	0	285	315	300	3000	2850	3150
KC	Eagle Staff		304	336	3116	3444	Mage		6804	6156	0	0	304	336	320	3280	3116	3444
KC	Eagle Staff		323	357	3382	3738	Mage		7308	6612	0	0	323	357	340	3560	3382	3738
KC	Beast Cleaver		299	331	3040	3360	War		6670	6030	0	0	299.25	330.75	315	3200	3040	3360
KC	Beast Cleaver		313	347	3372	3728	War		7198	6502	0	0	313.5	346.5	330	3550	3372.5	3727.5
KC	Beast Cleaver		332	368	3610	3990	War		7670	6930	0	0	332.5	367.5	350	3800	3610	3990
KC	Beast Cleaver		351	389	3942	4358	War		8248	7452	0	0	351.5	388.5	370	4150	3942.5	4357.5
KC	Infernal Sun Staff		299	331	3040	3360	Mage		6670	6030	0	0	299.25	330.75	315	3200	3040	3360
KC	Infernal Sun Staff		313	347	3372	3728	Mage		7198	6502	0	0	313.5	346.5	330	3550	3372.5	3727.5
KC	Infernal Sun Staff		332	368	3610	3990	Mage		7670	6930	0	0	332.5	367.5	350	3800	3610	3990
KC	Infernal Sun Staff		351	389	3942	4358	Mage		8248	7452	0	0	351.5	388.5	370	4150	3942.5	4357.5
KC	Dual Royal Axes		323	357	3467	3833	War		7403	6697	0	0	323	357	340	3650	3467.5	3832.5
KC	Dual Royal Axes		342	378	3895	4305	War		8085	7315	0	0	342	378	360	4100	3895	4305
KC	Dual Royal Axes		361	399	4275	4725	War		8715	7885	0	0	361	399	380	4500	4275	4725
KC	Dual Royal Axes		380	420	4655	5145	War		9345	8455	0	0	380	420	400	4900	4655	5145
KC	Elven Staff		323	357	3467	3833	Mage		7403	6697	0	0	323	357	340	3650	3467.5	3832.5
KC	Elven Staff		342	378	3895	4305	Mage		8085	7315	0	0	342	378	360	4100	3895	4305
KC	Elven Staff		361	399	4275	4725	Mage		8715	7885	0	0	361	399	380	4500	4275	4725
KC	Elven Staff		380	420	4655	5145	Mage		9345	8455	0	0	380	420	400	4900	4655	5145
KC	Heavenly Greatsword		380	420	4180	4620	War		8820	7980	0	0	380	420	400	4400	4180	4620
KC	Heavenly Greatsword		418	462	4655	5145	War		9765	8835	0	0	418	462	440	4900	4655	5145
KC	Heavenly Greatsword		456	504	5130	5670	War		10710	9690	0	0	456	504	480	5400	5130	5670
KC	Heavenly Greatsword		494	546	5605	6195	War		11655	10545	0	0	494	546	520	5900	5605	6195
KC	Apothecary Staff		380	420	4180	4620	Mage		8820	7980	0	0	380	420	400	4400	4180	4620
KC	Apothecary Staff		418	462	4655	5145	Mage		9765	8835	0	0	418	462	440	4900	4655	5145
KC	Apothecary Staff		456	504	5130	5670	Mage		10710	9690	0	0	456	504	480	5400	5130	5670
KC	Apothecary Staff		494	546	5605	6195	Mage		11655	10545	0	0	494	546	520	5900	5605	6195
KC	High Priest Battleaxe		437	483	4940	5460	War		10290	9310	0	0	437	483	460	5200	4940	5460
KC	High Priest Battleaxe		475	525	5320	5880	War		11130	10070	0	0	475	525	500	5600	5320	5880
KC	High Priest Battleaxe		494	546	5700	6300	War		11760	10640	0	0	494	546	520	6000	5700	6300
KC	High Priest Battleaxe		513	567	6080	6720	War		12390	11210	0	0	513	567	540	6400	6080	6720
KC	Moonlight Staff		437	483	4940	5460	Mage		10290	9310	0	0	437	483	460	5200	4940	5460
KC	Moonlight Staff		475	525	5320	5880	Mage		11130	10070	0	0	475	525	500	5600	5320	5880
KC	Moonlight Staff		494	546	5700	6300	Mage		11760	10640	0	0	494	546	520	6000	5700	6300
KC	Moonlight Staff		513	567	6080	6720	Mage		12390	11210	0	0	513	567	540	6400	6080	6720
KC	Etheral Greataxe		484	536	5510	6090	War		11450	10350	0	0	484.5	535.5	510	5800	5510	6090
KC	Etheral Greataxe		508	562	5985	6615	War		12235	11065	0	0	508.25	561.75	535	6300	5985	6615
KC	Etheral Greataxe		527	583	6460	7140	War		12970	11730	0	0	527.25	582.75	555	6800	6460	7140
KC	Etheral Greataxe		546	604	6935	7665	War		13705	12395	0	0	546.25	603.75	575	7300	6935	7665
KC	Sunight Staff		484	536	5510	6090	Mage		11450	10350	0	0	484.5	535.5	510	5800	5510	6090
KC	Sunight Staff		508	562	5985	6615	Mage		12235	11065	0	0	508.25	561.75	535	6300	5985	6615
KC	Sunight Staff		527	583	6460	7140	Mage		12970	11730	0	0	527.25	582.75	555	6800	6460	7140
KC	Sunight Staff		546	604	6935	7665	Mage		13705	12395	0	0	546.25	603.75	575	7300	6935	7665
KC	Dual Frozen Blades		513	567	6270	6930	War		12600	11400	0	0	513	567	540	6600	6270	6930
KC	Dual Frozen Blades		541	599	6745	7455	War		13445	12155	0	0	541.5	598.5	570	7100	6745	7455
KC	Dual Frozen Blades		570	630	7220	7980	War		14280	12920	0	0	570	630	600	7600	7220	7980
KC	Dual Frozen Blades		598	662	7695	8505	War		15125	13675	0	0	598.5	661.5	630	8100	7695	8505
KC	Celestial Fire Staff		513	567	6270	6930	Mage		12600	11400	0	0	513	567	540	6600	6270	6930
KC	Celestial Fire Staff		541	599	6745	7455	Mage		13445	12155	0	0	541.5	598.5	570	7100	6745	7455
KC	Celestial Fire Staff		570	630	7220	7980	Mage		14280	12920	0	0	570	630	600	7600	7220	7980
KC	Celestial Fire Staff		598	662	7695	8505	Mage		15125	13675	0	0	598.5	661.5	630	8100	7695	8505
KC	Dual Infernal Slicers		555	615	7030	7770	War		13920	12580	0	0	555.75	614.25	585	7400	7030	7770
KC	Dual Infernal Slicers		584	646	7695	8505	War		14965	13535	0	0	584.25	645.75	615	8100	7695	8505
KC	Dual Infernal Slicers		612	678	8360	9240	War		16020	14480	0	0	612.75	677.25	645	8800	8360	9240
KC	Dual Infernal Slicers		636	704	9025	9975	War		17015	15385	0	0	636.5	703.5	670	9500	9025	9975
KC	Arclight Battlestaff		555	615	7030	7770	Mage		13920	12580	0	0	555.75	614.25	585	7400	7030	7770
KC	Arclight Battlestaff		584	646	7695	8505	Mage		14965	13535	0	0	584.25	645.75	615	8100	7695	8505
KC	Arclight Battlestaff		612	678	8360	9240	Mage		16020	14480	0	0	612.75	677.25	645	8800	8360	9240
KC	Arclight Battlestaff		636	704	9025	9975	Mage		17015	15385	0	0	636.5	703.5	670	9500	9025	9975
KC	Dual Jade Daggers		608	672	8265	9135	War		15855	14345	0	0	608	672	640	8700	8265	9135
KC	Dual Jade Daggers		641	709	9025	9975	War		17065	15435	0	0	641.25	708.75	675	9500	9025	9975
KC	Dual Jade Daggers		674	746	9975	11025	War		18485	16715	0	0	674.5	745.5	710	10500	9975	11025
KC	Dual Jade Daggers		712	788	10925	12075	War		19955	18045	0	0	712.5	787.5	750	11500	10925	12075
KC	Fire Ice Staff		608	672	8265	9135	Mage		15855	14345	0	0	608	672	640	8700	8265	9135
KC	Fire Ice Staff		641	709	9025	9975	Mage		17065	15435	0	0	641.25	708.75	675	9500	9025	9975
KC	Fire Ice Staff		674	746	9975	11025	Mage		18485	16715	0	0	674.5	745.5	710	10500	9975	11025
KC	Fire Ice Staff		712	788	10925	12075	Mage		19955	18045	0	0	712.5	787.5	750	11500	10925	12075
KC	Barbaric		109	121	190	210	DPS Armor	2800	1420	1280	2660	2940	109.25	120.75	115	200	190	210
KC	Barbaric		128	142	228	252	DPS Armor	3300	1672	1508	3135	3465	128.25	141.75	135	240	228	252
KC	Barbaric		147	163	266	294	DPS Armor	3700	1924	1736	3515	3885	147.25	162.75	155	280	266	294
KC	Barbaric		166	184	304	336	DPS Armor	4100	2176	1964	3895	4305	166.25	183.75	175	320	304	336
KC	Barbaric Guardian		109	121	5890	6510	Guardian		7720	6980	0	0	109.25	120.75	115	6200	5890	6510
KC	Barbaric Guardian		128	142	6555	7245	Guardian		8665	7835	0	0	128.25	141.75	135	6900	6555	7245
KC	Barbaric Guardian		147	163	7220	7980	Guardian		9610	8690	0	0	147.25	162.75	155	7600	7220	7980
KC	Barbaric Guardian		166	184	7885	8715	Guardian		10555	9545	0	0	166.25	183.75	175	8300	7885	8715
KC	Beastly / Arch-Mage		171	189	332	368	DPS Armor	4300	2258	2042	4085	4515	171	189	180	350	332.5	367.5
KC	Beastly / Arch-Mage		190	210	370	410	DPS Armor	4550	2510	2270	4322	4778	190	210	200	390	370.5	409.5
KC	Beastly / Arch-Mage		209	231	418	462	DPS Armor	4800	2772	2508	4560	5040	209	231	220	440	418	462
KC	Beastly / Arch-Mage		228	252	465	515	DPS Armor	5200	3035	2745	4940	5460	228	252	240	490	465.5	514.5
KC	Beastly Guardian		171	189	7980	8820	Guardian		10710	9690	0	0	171	189	180	8400	7980	8820
KC	Beastly Guardian		190	210	8930	9870	Guardian		11970	10830	0	0	190	210	200	9400	8930	9870
KC	Beastly Guardian		209	231	9880	10920	Guardian		13230	11970	0	0	209	231	220	10400	9880	10920
KC	Beastly Guardian		228	252	10830	11970	Guardian		14490	13110	0	0	228	252	240	11400	10830	11970
KC	Titan-Forged		209	231	427	473	DPS Armor	4500	2783	2517	4275	4725	209	231	220	450	427.5	472.5
KC	Titan-Forged		232	258	503	557	DPS Armor	4800	3137	2823	4560	5040	232.75	257.25	245	530	503.5	556.5
KC	Titan-Forged		256	284	579	641	DPS Armor	5200	3481	3139	4940	5460	256.5	283.5	270	610	579.5	640.5
KC	Titan-Forged		285	315	655	725	DPS Armor	5600	3875	3505	5320	5880	285	315	300	690	655.5	724.5
KC	Titan-Forged Guardian		209	231	10355	11445	Guardian		13755	12445	0	0	209	231	220	10900	10355	11445
KC	Titan-Forged Guardian		232	258	11685	12915	Guardian		15495	14005	0	0	232.75	257.25	245	12300	11685	12915
KC	Titan-Forged Guardian		256	284	13300	14700	Guardian		17540	15860	0	0	256.5	283.5	270	14000	13300	14700
KC	Titan-Forged Guardian		285	315	15200	16800	Guardian		19950	18050	0	0	285	315	300	16000	15200	16800
KC	Beast Master War Scythe		807	893	13300	14700	War Legend		23630	21370	0	0	807.5	892.5	850	14000	13300	14700
KC	Beast Master Spell Scythe		807	893	13300	14700	Mage Legend		23630	21370	0	0	807.5	892.5	850	14000	13300	14700
UW	Dual Sapphire Slicers		665	735	9215	10185	War		17535	15865	0	0	665	735	700	9700	9215	10185
UW	Dual Sapphire Slicers		703	777	9690	10710	War		18480	16720	0	0	703	777	740	10200	9690	10710
UW	Dual Sapphire Slicers		741	819	10165	11235	War		19425	17575	0	0	741	819	780	10700	10165	11235
UW	Dual Sapphire Slicers		779	861	10640	11760	War		20370	18430	0	0	779	861	820	11200	10640	11760
UW	Sapphire Greatstaff		665	735	9215	10185	Mage		17535	15865	0	0	665	735	700	9700	9215	10185
UW	Sapphire Greatstaff		703	777	9690	10710	Mage		18480	16720	0	0	703	777	740	10200	9690	10710
UW	Sapphire Greatstaff		741	819	10165	11235	Mage		19425	17575	0	0	741	819	780	10700	10165	11235
